epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,30039.5,0.3471,0.26878,0.88612,0.99828,0.94068,0.98046,0.95008,0.21616,0.17225,0.78826,0.000208,0.000208,0.000208
82,30239.9,0.36615,0.27577,0.88657,0.9832,0.95784,0.98055,0.94853,0.22265,0.17233,0.79165,0.0001981,0.0001981,0.0001981
83,30431.8,0.35751,0.27753,0.8848,0.98419,0.96146,0.98113,0.94883,0.22585,0.17407,0.79417,0.0001882,0.0001882,0.0001882
84,30622.6,0.36555,0.28657,0.89518,0.98525,0.96628,0.97997,0.94801,0.22644,0.16975,0.79348,0.0001783,0.0001783,0.0001783
85,30817.6,0.35186,0.26617,0.87831,0.98483,0.96556,0.97994,0.9472,0.21976,0.1652,0.79201,0.0001684,0.0001684,0.0001684
86,31018,0.3702,0.27508,0.88753,0.98132,0.95927,0.97999,0.94622,0.21512,0.16858,0.79052,0.0001585,0.0001585,0.0001585
87,31217.4,0.35445,0.27396,0.89249,0.98448,0.96225,0.98035,0.94477,0.22429,0.17195,0.79224,0.0001486,0.0001486,0.0001486
88,31414.9,0.35309,0.26631,0.88814,0.99195,0.95659,0.97967,0.9454,0.22115,0.17172,0.79147,0.0001387,0.0001387,0.0001387
89,31607.7,0.35367,0.26436,0.88082,0.9875,0.96069,0.98061,0.94721,0.22329,0.17147,0.79373,0.0001288,0.0001288,0.0001288
90,31816.2,0.36337,0.26989,0.89409,0.99664,0.95611,0.98094,0.94859,0.22345,0.17002,0.79469,0.0001189,0.0001189,0.0001189
